ID_R,Author,Year,TypeReport,ImpactFactor,Theory_A,Theory_B,Theory_C,Hypotheses,Definition,ID_S,ID_RS,Preregistration,TypeStudy,Country,StudyYear,SampleSize,GeneralPop,StudentPop,SampleExact,NR-AT,RR,AgeMean,AgeSD,AgeRange,FemaleP,LiberalP,LiberalMean,LiberalSD,LiberalRange,Liberal,LiberalCat,WhiteP,MuslimP,EthCat,ID_IV,IV_Exact,IV_Code,IV_Quality,Attack,ExactAttack,Type,Distance,Casualties,CasualtiesCat,DomesticTerror,Control_Condition,IV_2,ID_DV,DV_Exact,DV_Time,Time_Cat,DV_Code,Alpha,DV_Quality,OA_Category,OA_Target_A,OA_Similarity,PA_Category,Name,Incumbent,Republican,Gender,ID_ES,PlaceInformation,Test,estimate,sd,n,m_c,sd_c,n_c,m_t,sd_t,n_t,corT1T2,Direction,Regression,Correlation,Variance,SE,Fisher,Variance_F,SE_F,ESS,Power,ID_ES_Unique
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,1,100081,0,1,Germany,2008,144,0,1,University students,0,NA,22,2.9,NA,46.527,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Approval of torture,0,NA,1,0.88,3,NA,NA,NA,9,NA,NA,NA,NA,1,Table 1 on p. 41,"m, sd",NA,NA,NA,-1.34,1.75,48,-0.72,1.49,48,NA,NA,0,0.196092,0.009446,0.097191,0.198665,0.010753,0.103697,96,0.485861448578851,35
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,2,100082,0,1,Germany,2010,99,0,1,University students,0,NA,22,2.67,NA,62.626262,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,In-group idenitification,1,Approval of torture,0,NA,1,0.85,3,NA,NA,NA,9,NA,NA,NA,NA,5,Table 2 on p. 43,r,0.19,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0.19,0.009481,0.09737,0.192337,0.010417,0.102064,99,0.473216798739927,39
10009,Aytac & Carkoglu,2019,1,2.615,Conservative shift,Leadership and Competence,Issue Ownership; TMT,0,0,1,100091,0,3,Turkey,2015,2201,1,0,Representative sample of Turkish adults,0,NA,42.4,NA,18-91,56,NA,NA,NA,NA,NA,4,NA,NA,3,1,Terrorism as most important problem,10,0,0,NA,0,0,NA,-99,1,NA,Calm period,1,Vote intention for AKP,0,NA,1,NA,1,NA,NA,NA,4,AKP,1,1,NA,1,Table 1 on p. 6,logit,0.15,NA,1776,NA,NA,NA,NA,NA,NA,NA,NA,2,0.058843,5.59e-4,0.023643,0.058911,5.64e-4,0.023749,1776,0.698899390236189,45
10009,Aytac & Carkoglu,2019,1,2.615,Conservative shift,Leadership and Competence,Issue Ownership; TMT,0,0,2,100092,0,3,Turkey,2015,1086,1,0,Representative sample of Turkish adults,0,NA,40.2,NA,18-90,49,NA,NA,NA,NA,NA,4,NA,NA,3,1,Terrorism as most important problem,10,0,0,NA,0,0,NA,-99,1,NA,Calm period,1,Reported vote for AKP,0,NA,1,NA,1,NA,NA,NA,4,AKP,1,1,NA,2,Table 1 on p. 6,logit,-0.001,NA,932,NA,NA,NA,NA,NA,NA,NA,NA,2,-3.93e-4,0.001074,0.032772,-3.93e-4,0.001076,0.032802,932,0.0499992286559726,46
10009,Aytac & Carkoglu,2019,1,2.615,Conservative shift,Leadership and Competence,Issue Ownership; TMT,0,0,3,100093,0,3,Turkey,2015,1289,1,0,Representative sample of Turkish adults,0,NA,41.6,NA,18-86,51,NA,NA,NA,NA,NA,4,NA,NA,3,1,Terrorism as most important problem,10,0,0,NA,0,0,NA,-99,1,NA,Violent period,1,Reported vote for AKP,0,NA,1,NA,1,NA,NA,NA,4,AKP,1,1,NA,3,Table 1 on p. 6,logit,0.59,NA,1191,NA,NA,NA,NA,NA,NA,NA,NA,2,0.228004,7.55e-4,0.027477,0.232082,8.42e-4,0.029017,1191,0.999999999241347,47
10009,Aytac & Carkoglu,2019,1,2.615,Conservative shift,Leadership and Competence,Issue Ownership; TMT,0,0,4,100094,0,4,Turkey,2015,705,1,0,Representative sample of Turkish adults,0,NA,43.5,NA,18-91,56,NA,NA,NA,NA,NA,4,NA,NA,3,1,Terrorism as most important problem,10,0,0,NA,0,0,NA,-99,1,NA,NA,1,Switched vote to AKP,90,NA,1,NA,1,NA,NA,NA,4,AKP,1,1,NA,4,Table 2 on p. 8,logit,0.65,NA,648,NA,NA,NA,NA,NA,NA,NA,NA,2,0.25034,0.001358,0.036851,0.255775,0.00155,0.03937,648,0.999997195678557,48
10010,Baele et al.,2019,1,1.703,Securitization Theory,Framing,SIT,1,0,1,100101,0,1,Belgium,2015,481,0,1,University students,0,NA,19.40748,1.779591,NA,63.73166,NA,4.224215,1.426537,1-7,0.6034592857142858,3,NA,5.64854,2,1,Terror manipulation,2,1,0,NA,0,1,NA,-99,-99,NA,NA,1,"""Les auteurs de ce fait doivent être condamnés avec la plus grande fermeté""",0,NA,1,NA,1,NA,NA,NA,9,NA,NA,NA,NA,1,Mail correspondence,"m, sd",NA,NA,NA,5.559524,1.4001809999999999,168,5.70625,1.251901,160,NA,NA,0,0.055063,0.003026,0.055009,0.055119,0.003077,0.055471,328,0.168783587691667,49
10011,Bali,2007,1,0.813,Rally-around-the-flag,Priming,Strategies of terrorism,1,0,1,100111,0,3,Spain,2004,5377,1,0,Nationally representative survey,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,1,Self-reported terror influence on vote,16,0,1,11/03 Madrid,1,2,193,2,0,NA,NA,1,Vote turnout,0,NA,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,1,Table 1 on p. 677,proportions,NA,NA,NA,0.869,NA,3844.555,0.914,NA,1553.953,NA,NA,0,0.116847,6.26e-4,0.02502,0.117383,1.85e-4,0.013601,5399,0.999999999986629,61
10011,Bali,2007,1,0.813,Rally-around-the-flag,Priming,Strategies of terrorism,1,0,2,100112,0,3,Spain,2004,1000,1,0,Nationally representative survey,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,1,Self-reported terror influence on vote,16,0,1,11/03 Madrid,1,2,193,2,0,NA,NA,2,PSOE vote,0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,5,Table 1 on p. 677,proportions,NA,NA,NA,0.389,NA,716,0.542,NA,284,NA,NA,0,-0.151354,0.001156,0.034,-0.152526,0.001003,0.03167,1000,0.997870696994466,65
10012,Bali,2009,1,0.574,Framing,NA,NA,1,0,1,100121,0,1,US,2006,993,0,0,Michigan population,1,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,1,Terrorism threat frame,4,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Approval of REAL ID Act,0,NA,1,NA,1,NA,NA,NA,9,NA,NA,NA,NA,1,Table 1 on p. 243,proportions,NA,NA,NA,0.686,NA,175,0.738,NA,189,NA,NA,0,0.069828,0.00403,0.063482,0.069942,0.00277,0.052631,364,0.264971100537348,68
10013,"Barnes, Brown, & Osterman",2012,1,2.217,Masculine Honor Ideology,NA,NA,0,0,1,100131,0,3,US,2011,177,2,0,White males via online convenience sampling,0,NA,31.95,6.77,18-55,0,NA,5.46,1.84,1-9,0.6066666666666667,2,100,NA,2,1,Terrorism-directed hostility,12,1,1,Hypothetical attack by Afghani terrorist,1,2,250,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,Table 1 on p. 1024,r,0.23,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,0,0.23,0.00602,0.077589,0.234189,0.006803,0.08248,150,0.812697711923777,74
10014,Bar-Tal & Labin,2001,1,1.069,Realistic Conflict Theory,NA,NA,1,0,1,100141,0,4,Israel,1996,119,0,1,Adolescents,0,NA,15,NA,13-17,52.94,NA,NA,NA,NA,NA,4,NA,NA,2,1,Terrorist attack,1,0,1,Two major attacks in Israel,1,2,24,1,1,NA,NA,1,Social-evaluative traits: Palestinians,1,NA,2,NA,2,2,3,2,99,NA,NA,NA,NA,1,Table 2 on p. 272,"m, sd",NA,NA,NA,2.89,0.57999999999999996,82,2.71,0.7,82,NA,1,0,0.138659,0.005809,0.076217,0.139558,0.006211,0.07881,164,0.4268612170345,81
10015,Berg,2010,3,0,NA,NA,NA,1,0,1,100151,0,3,US,2009,426,0,0,South-Western Americans,1,78.56,25.86,12.53,18-88,47.8,NA,50.97,9.66,NA,NA,3,52.7,1.4,3,1,Fear of Terrorist Attack,11,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Social conservatism,0,NA,1,0.81,3,NA,NA,NA,6,NA,NA,NA,NA,1,Table 16 on p. 100,r,0.37,NA,425,NA,NA,NA,NA,NA,NA,NA,NA,0,0.37,0.001757,0.041917,0.388423,0.00237,0.048683,425,0.999999999169541,123
10016,Besser & Neria,2009,1,1.824,PTSD,Outgroup threat,NA,1,0,1,100161,0,1,Israel,2007,341,0,0,Jewish inhabitants of 2 specific areas,1,89.97,34,9.5,20-60,50.45,NA,NA,NA,NA,NA,4,NA,0,2,1,Exposure to terrorist attacks,1,1,1,Terrorist attacks in Sderot (Gaza),1,3,20+,1,1,NA,NA,1,Prejudicial attitudes,0,NA,2,0.88,3,1,5,2,99,NA,NA,NA,NA,1,Table 1 on p. 271,"m,sd",NA,NA,NA,6.63,2.13,181,6.78,1.92,160,NA,NA,0,0.036775,0.002923,0.054065,0.036791,0.002959,0.054397,341,0.103924578438647,124
10017,"Best, Krueger, & Pearson-Merkowitz",2012,1,1.63,Cognitive Tendency Theory (an extension of Cognitive Appraisal theory),NA,NA,0,0,1,100171,0,1,US,2007,915,1,0,"Telephone sample of adult, non- institutionalized residents of the contiguous United States.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,1,Perceived national threat,9,0,0,NA,0,0,NA,-99,-99,NA,NA,1,Domestic counterterrorism policies,0,NA,1,0.84,3,NA,NA,NA,9,NA,NA,NA,NA,1,Table 2 on p. 617; text on p. 618,beta,0.1,NA,915,NA,NA,NA,NA,NA,NA,NA,NA,2,0.148,0.001047,0.032357,0.149095,0.001096,0.033106,915,0.994534578964397,125
10018,Bilali,2015,1,0.79,In-group homogeneity & identification,SIT,Self-categorization theory,1,0,1,100181,0,1,US,2009,147,0,1,University students,0,NA,19.98,3.38,NA,71.79,NA,2.15,1.35,0-6,0.3071428571428571,1,NA,NA,2,1,News article on high terrorist threat,2,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Legitimization of war in Iraq,0,NA,1,0.78,3,NA,NA,NA,8,NA,NA,NA,NA,1,Table 1 on p. 304,"m, sd",NA,NA,NA,2.79,1.18,49,2.91,1.18,49,NA,NA,0,0.050782,0.010138,0.100688,0.050826,0.010526,0.102596,98,0.0786373677181083,127
10019,Blanchar,2016,3,0,MSC,TMT,Familiarity,1,0,1,100191,1,3,US,2016,300,0,1,University students,0,NA,19.18,2.1,NA,59.33,NA,4.09,1.52,1-7,NA,3,NA,NA,2,1,Perceived national threat,10,0,0,NA,0,0,NA,-99,-99,NA,NA,1,RWA,0,NA,1,NA,2,NA,NA,NA,5,NA,NA,NA,NA,1,Table 2 on p. 47,r,0.27,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,0,0.27,0.002875,0.053619,0.276864,0.003367,0.058026,300,0.99758940850674,132
10020,"Blauwkamp, Rowling, & Pettit",2018,1,0,Public opinion,Framing,Question wording effects,1,0,1,100201,0,1,US,2015,2038,1,0,Nationally representative survey,0,NA,NA,NA,19-60+,52.6,NA,NA,NA,NA,NA,3,89.9,NA,2,1,Terrorist frame,5,1,0,NA,0,0,NA,-99,-99,NA,Comparison condition,1,Support for torture,0,NA,1,NA,1,NA,NA,NA,9,NA,NA,NA,NA,1,Table 1 on p. 457,t-test,4.653,NA,NA,NA,NA,389,NA,NA,411,NA,NA,0,0.162524,0.001186,0.034438,0.163979,0.001255,0.035426,800,0.996230326098213,144
10021,Bonnano & Jost,2006,1,0.83,MSC,NA,NA,1,0,1,100211,0,4,US,2002,45,0,0,High-exposure survivors of the September 11th terrorist attacks.,0,NA,39.16,11.03,23-59,60,NA,3.51,1.75,1-7,0.5014285714285714,3,82.2,NA,2,1,Perceived personal threat,9,1,1,9/11 Attacks,1,3,2996,2,0,NA,NA,1,Political ideology (conservatism),210,4,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,1,Table 1 on p. 318,r,0.21,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,0,0.21,0.020767,0.14410800000000001,0.213171,0.02381,0.154305,45,0.286094043351024,150
10022,Boomgaarden & de Vreese,2007,1,0.522,ITT,NA,NA,1,0,1,100221,0,2,Netherlands,2004,276,0,1,University students,1,39,20.1,NA,NA,63,NA,NA,NA,NA,NA,4,NA,NA,2,1,Terrorist attack,1,0,1,Theo van Gogh,1,2,1,0,1,NA,NA,1,Immigration attitudes index,0,NA,2,0.83,3,2,2,1,99,NA,NA,NA,NA,1,Figure 1 on p. 360,p-value,0.114,NA,NA,NA,NA,128,NA,NA,148,NA,NA,0,0.072535,0.003576,0.0598,0.072663,0.003663,0.060523,276,0.225096007148333,154
10023,"Boydstun, Feezell, & Glazier",2018,1,0,Contact theory,Group threat,NA,2,0,1,100231,0,2,US,2015,2105,2,0,MTurkers,0,NA,34.73,12.064,18-86,49.4,NA,4.568,NA,1-7,0.6525714285714285,1,79.7,0,2,1,Terrorist attack,1,1,1,November 2015 Paris attacks,1,1,130,2,0,NA,International,1,Feeling thermometer towards Muslims,0,NA,2,NA,1,1,3,2,99,NA,NA,NA,NA,1,Mail correspondence,"m, sd",NA,NA,NA,58.46181,25.215589999999999,838,58.85031,25.87983,648,NA,NA,0,-0.007553,6.73e-4,0.025942,-0.007553,6.74e-4,0.025962,1486,0.0597418911031003,157
10024,"Breugelmans, van de Vijver, & Schalk-Soekar",2009,1,1.177,NA,NA,NA,2,0,1,100241,0,2,Netherlands,2005,503,0,0,Convenience samples,1,NA,42.59,14.52,NA,54.67,NA,NA,NA,NA,NA,4,NA,NA,2,1,Terrorist attack,1,0,1,Theo van Gogh,1,2,1,0,1,NA,NA,1,Support for multiculturalism,50,3,2,0.85,3,2,2,0,99,NA,NA,NA,NA,1,Table 3 on p. 662,d,-0.63,NA,NA,NA,NA,333,NA,NA,170,NA,1,0,0.285591,0.001609,0.040112,0.293759,0.002,0.044721,503,0.999998032409528,159
10025,Brinson & Stohl,2012,1,0,Framing,NA,NA,1,0,1,100251,0,3,US,2008,371,1,0,National adult population,1,87.63,42,NA,NA,51,48,NA,NA,NA,NA,3,NA,NA,4,1,Fear of Terrorist Attack,11,0,0,NA,0,0,NA,-99,-99,NA,Domestic terrorist threat sphere,1,Support for civil liberties restrictions,0,NA,1,0.841,3,NA,NA,NA,9,NA,NA,NA,NA,1,Table 2 on p. 283,r squared,0.18,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,1,0.424264,0.001817,0.042626,0.452881,0.002717,0.052125,371,0.999999999991994,162
10026,"Bruneau, Kteily, & Falk",2018,1,2.498,Collective blame,NA,NA,2,0,1,100261,0,3,US,2016,193,1,0,non-Muslim Americans,0,NA,35.69,11.38,NA,53.88,NA,NA,NA,NA,NA,4,80.3,0,2,1,Blame Muslims for Paris terror attacks,16,0,1,November 2015 Paris attacks,1,1,130,2,0,NA,NA,1,Blatant dehumanization,0,NA,2,0.95,3,2,3,2,99,NA,NA,NA,NA,1,Table 1 on p. 433,r,0.71,NA,193,NA,NA,NA,NA,NA,NA,NA,NA,0,0.71,0.001281,0.035791,0.887184,0.005263,0.072547,193,1,168
10027,Canetti et al.,2009,1,0.989,ITT,Authoritarianism and threat,NA,2,0,1,100271,0,3,Israel,2005,190,0,0,Jewish Israeli settlers in Gaza,1,41,37,13.33,NA,55.56,NA,NA,NA,NA,NA,2,NA,NA,1,1,Perceived threat,10,0,1,Israeli-Palestinian conflict,1,2,NA,2,1,NA,Israelis,1,Exlusionist political attitudes,0,NA,3,0.71,3,4,3,2,10,NA,NA,NA,NA,1,Table 1 on p. 467,r,0.34,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,0,0.34,0.004138,0.064327,0.354093,0.005348,0.07313,190,0.998096693467261,173
10028,Canetti et al.,2009,1,1.769,Stress-based model of Political Extremism,NA,NA,1,0,1,100281,0,4,Israel,2004,469,1,0,Jewish-Israeli,1,41.3,47.36,15.4,18-86,57.6,29,2.94,NA,1-5,0.588,3,NA,NA,2,1,Exposure to terrorist attacks,6,0,0,NA,0,0,NA,-99,-99,NA,NA,1,Exclusionist political attitudes towards PCIs,180,NA,3,0.75,3,4,3,2,10,NA,NA,NA,NA,1,Table 2 on p. 377,r,0.05,NA,469,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05,0.002126,0.046109,0.050042,0.002146,0.046325,469,0.19091742418372,175
10029,Canetti et al.,2016,1,1,Threat,NA,NA,2,0,1,100291,0,4,Israel,2014,94,0,0,Tel Aviv residents via Midgam panel,1,69,34.57,9.56,23-64,50,36.2,NA,NA,NA,NA,3,NA,NA,2,1,Operation Protective Edge,1,1,1,2014 Israel–Gaza conflict,6,2,2173,2,1,NA,NA,1,Attitudes toward asylum policy,0,NA,3,0.76,3,4,2,1,10,NA,NA,NA,NA,1,Table 4 on p. 597,"m, sd",NA,NA,NA,4.2,0.99,137,4.06,0.98,93,NA,1,0,0.069516,0.004296,0.065544,0.069628,0.004405,0.06637,230,0.182915973423786,178
10030,Canetti et al.,2017,1,2.947,"Sociopsychological theories (including shattered assumption, MSC)",Ethos of conflict,NA,1,0,1,100301,0,3,Israel,2008,781,1,0,Israeli Jews,1,53,45.36,17.25,17-93,51.6,NA,NA,NA,NA,NA,4,NA,NA,2,1,Exposure to political violence,6,0,1,Israeli-Palestinian conflict,1,2,NA,2,1,NA,Israelis,1,Support for compromise,0,NA,1,0.82,3,NA,NA,NA,8,NA,NA,NA,NA,1,Table 1 on p. 97,r,-0.04,NA,781,NA,NA,NA,NA,NA,NA,NA,1,0,0.04,0.001278,0.035749,0.040021,0.001285,0.035847,781,0.200624773401592,179
10031,Canetti et al.,2018,1,2.782,Collective trauma,NA,NA,1,0,1,100311,0,1,Israel,2016,57,1,0,Jewish-Israeli,1,60,27,11.2,19-88,64.91,NA,NA,NA,NA,NA,4,NA,NA,2,1,Holocaust-salience prime,5,1,1,Holocaust,5,0,6000000,2,-99,NA,NA,1,Political militancy,0,NA,1,0.71,3,NA,NA,NA,8,NA,NA,NA,NA,1,Text on p. 7,"m, sd",NA,NA,NA,3.83,0.99,19,4.54,1.04,19,NA,NA,0,0.330054,0.019757,0.14056,0.342889,0.028571,0.16903,38,0.536466715066104,191
10031,Canetti et al.,2018,1,2.782,Collective trauma,NA,NA,1,0,2,100312,0,1,Israel,2016,69,0,1,University students,0,NA,28,9.3,18-47,50.72464,NA,NA,NA,NA,NA,4,NA,NA,4,1,Holocaust-exclusive prime,5,1,1,Holocaust,5,0,6000000,2,-99,NA,Exclusive frame,1,Preemptive strike against Iran,0,NA,1,0.82,3,NA,NA,NA,8,NA,NA,NA,NA,2,Text on p. 9,"m, sd",NA,NA,NA,4.22,0.88,23,4.87,0.93,23,NA,NA,0,0.337869,0.016085,0.126827,0.351685,0.023256,0.152499,46,0.64352772653365,192
10031,Canetti et al.,2018,1,2.782,Collective trauma,NA,NA,1,0,3,100313,0,3,Israel,2013,152,0,1,University students,0,NA,34,12.22,18-77,51,NA,NA,NA,NA,NA,4,NA,NA,4,1,Holocaust exposure,6,0,1,Holocaust,5,0,6000000,2,-99,NA,NA,1,Political militancy,0,NA,1,0.72,3,NA,NA,NA,8,NA,NA,NA,NA,6,Text on p. 11,t-test,1.84,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,0,0.148568,0.006333,0.07958,0.149676,0.006711,0.081921,152,0.449214819760662,196
10031,Canetti et al.,2018,1,2.782,Collective trauma,NA,NA,1,0,4,100314,0,3,Israel,2007,867,1,0,Jewish-Israeli,1,53,45,16.14,18-98,50,NA,NA,NA,NA,NA,3,NA,NA,4,1,Holocaust exposure (descendant),6,0,1,Holocaust,5,0,6000000,2,-99,NA,NA,1,Political militancy,0,NA,1,0.72,3,NA,NA,NA,8,NA,NA,NA,NA,7,Table 1 on p. 15,"m, sd",NA,NA,NA,4.08,1.1299999999999999,539,3.99,1.23,323,NA,NA,0,-0.037258,0.001156,0.034,-0.037275,0.001164,0.034117,862,0.194102946395406,197
