ID_R,Author,Year,TypeReport,ImpactFactor,Theory_A,Theory_B,Theory_C,Hypotheses,Definition,ID_S,ID_RS,Preregistration,TypeStudy,Country,StudyYear,SampleSize,GeneralPop,StudentPop,SampleExact,NR-AT,RR,AgeMean,AgeSD,AgeRange,FemaleP,LiberalP,LiberalMean,LiberalSD,LiberalRange,Liberal,LiberalCat,WhiteP,MuslimP,EthCat,ID_IV,IV_Exact,IV_Code,IV_Quality,Attack,ExactAttack,Type,Distance,Casualties,CasualtiesCat,DomesticTerror,Control_Condition,IV_2,ID_DV,DV_Exact,DV_Time,Time_Cat,DV_Code,Alpha,DV_Quality,OA_Category,OA_Target_A,OA_Similarity,PA_Category,Name,Incumbent,Republican,Gender,ID_ES,PlaceInformation,Test,estimate,sd,n,m_c,sd_c,n_c,m_t,sd_t,n_t,corT1T2,Direction,Regression,Correlation,Variance,SE,Fisher,Variance_F,SE_F,ESS,Power,ID_ES_Unique,TerrorMeasure,TerrorType
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,4,9/11 Emotional reaction,13,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,4,Table 2 on p. 27,r,0.12,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.12,0.003282,0.057289,0.120581,0.003401,0.058318,297,0.544054587265613,11,Other,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,5,9/11 Community threat,10,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Political ideology (conservatism),0,NA,1,NA,1,NA,NA,NA,7,NA,NA,NA,NA,5,Table 2 on p. 27,r,0.01,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.01,0.003378,0.058121,0.01,0.003401,0.058318,297,0.0533301236330219,12,Threat,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,1,9/11 TV use,8,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,6,Table 2 on p. 27,r,-0.03,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.03,0.003372,0.058069,-0.030009,0.003401,0.058318,297,0.0808737390146375,13,Reported exposure,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,2,9/11 Parent talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,7,Table 2 on p. 27,r,0.15,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.15,0.003228,0.056815,0.15114,0.003401,0.058318,297,0.737431064233932,14,Reported exposure,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,3,9/11 Teacher talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,8,Table 2 on p. 27,r,0.05,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05,0.003362,0.057983,0.050042,0.003401,0.058318,297,0.137863125305488,15,Reported exposure,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,4,9/11 Emotional reaction,13,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,9,Table 2 on p. 27,r,0.13,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.13,0.003265,0.05714,0.13074,0.003401,0.058318,297,0.612214338381285,16,Other,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,5,9/11 Community threat,10,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,2,Political trust,0,NA,1,0.79,3,NA,NA,NA,2,NA,NA,NA,NA,10,Table 2 on p. 27,r,0.02,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,0.003376,0.058103,0.020003,0.003401,0.058318,297,0.0635648590191573,17,Threat,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,1,9/11 TV use,8,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,11,Table 2 on p. 27,r,-0.05,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05,0.003362,0.057983,0.050042,0.003401,0.058318,297,0.137863125305488,18,Reported exposure,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,2,9/11 Parent talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,12,Table 2 on p. 27,r,0.17,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.17,0.003186,0.056445,-0.171667,0.003401,0.058318,297,0.838416375857228,19,Reported exposure,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,3,9/11 Teacher talk,7,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,13,Table 2 on p. 27,r,0.04,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.04,0.003368,0.058034,-0.040021,0.003401,0.058318,297,0.105552033939435,20,Reported exposure,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,4,9/11 Emotional reaction,13,1,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,14,Table 2 on p. 27,r,-0.07,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.07,0.003345,0.057836,0.070115,0.003401,0.058318,297,0.225546340863171,21,Other,Islamist
10004,Anonymous,2012,4,0,TMT,NA,NA,0,0,1,100041,0,3,US,2011,297,0,1,University students,0,NA,19.76,1.25,18-26,66.33,NA,3.96,1.52,1-7,0.5657142857142857,3,NA,NA,4,5,9/11 Community threat,10,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,3,Support for immigration,0,NA,2,0.9,3,4,2,1,10,NA,NA,NA,NA,15,Table 2 on p. 27,r,-0.03,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,0.003372,0.058069,0.030009,0.003401,0.058318,297,0.0808737390146375,22,Threat,Islamist
10005,Argyrides & Downey,2004,1,0,Us vs Them,NA,NA,1,0,1,100051,0,2,US,2001,243,0,1,University students (psychology),0,NA,20.6,NA,NA,60,NA,NA,NA,NA,NA,4,90,NA,2,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Prejudice,1,NA,2,0.8,3,2,1,0,99,NA,NA,NA,NA,1,Table 2 on p. 180,"m, sd",NA,NA,NA,17.53,4.67,30,20.65,7.91,34,NA,NA,0,0.229741,0.013649,0.116829,0.233916,0.016393,0.128035,64,0.451957058527056,23,Acts of violence,Islamist
10005,Argyrides & Downey,2004,1,0,Us vs Them,NA,NA,1,0,1,100051,0,2,US,2001,243,0,1,University students (psychology),0,NA,20.6,NA,NA,60,NA,NA,NA,NA,NA,4,90,NA,2,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Prejudice,7,NA,2,0.8,3,2,1,0,99,NA,NA,NA,NA,2,Table 2 on p. 180,"m, sd",NA,NA,NA,17.53,4.67,30,18.2,4.58,30,NA,NA,0,0.07224,0.01645,0.128258,0.072366,0.017544,0.132454,60,0.0850681228774802,24,Acts of violence,Islamist
10005,Argyrides & Downey,2004,1,0,Us vs Them,NA,NA,1,0,1,100051,0,2,US,2001,243,0,1,University students (psychology),0,NA,20.6,NA,NA,60,NA,NA,NA,NA,NA,4,90,NA,2,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Prejudice,8,NA,2,0.8,3,2,1,0,99,NA,NA,NA,NA,3,Table 2 on p. 180,"m, sd",NA,NA,NA,17.53,4.67,30,19.51,5.79,32,NA,NA,0,0.193215,0.014668,0.121112,0.195675,0.016949,0.130188,62,0.327698626946699,25,Acts of violence,Islamist
10005,Argyrides & Downey,2004,1,0,Us vs Them,NA,NA,1,0,1,100051,0,2,US,2001,243,0,1,University students (psychology),0,NA,20.6,NA,NA,60,NA,NA,NA,NA,NA,4,90,NA,2,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Prejudice,31,NA,2,0.8,3,2,1,0,99,NA,NA,NA,NA,4,Table 2 on p. 180,"m, sd",NA,NA,NA,17.53,4.67,30,16.19,4.8,32,NA,NA,0,-0.139957,0.015352,0.123903,-0.140881,0.016949,0.130188,62,0.192953792332866,26,Acts of violence,Islamist
10005,Argyrides & Downey,2004,1,0,Us vs Them,NA,NA,1,0,1,100051,0,2,US,2002,243,0,1,University students (psychology),0,NA,20.6,NA,NA,60,NA,NA,NA,NA,NA,4,90,NA,2,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Prejudice,365,NA,2,0.8,3,2,1,0,99,NA,NA,NA,NA,5,Table 2 on p. 180,"m, sd",NA,NA,NA,17.53,4.67,30,19.68,5.15,45,NA,NA,0,0.207528,0.011947,0.109302,0.210587,0.013889,0.117852,75,0.435347872243293,27,Acts of violence,Islamist
10005,Argyrides & Downey,2004,1,0,Us vs Them,NA,NA,1,0,1,100051,0,2,US,2003,243,0,1,University students (psychology),0,NA,20.6,NA,NA,60,NA,NA,NA,NA,NA,4,90,NA,2,1,Terrorist attack,1,0,1,9/11 Attacks,1,2,2996,2,0,NA,NA,1,Prejudice,730,NA,2,0.8,3,2,1,0,99,NA,NA,NA,NA,6,Table 2 on p. 180,"m, sd",NA,NA,NA,17.53,4.67,30,19.81,6.46,40,NA,NA,0,0.192073,0.013007,0.114048,0.194489,0.014925,0.122168,70,0.360146880554985,28,Acts of violence,Islamist
10006,Arian,1989,1,0,People Apart Syndrome,NA,NA,0,0,1,100061,0,3,Israel,1988,1116,1,0,Israeli adults,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,Threat perceptions,10,0,1,Israeli-Palestinian conflict,1,2,NA,2,1,NA,NA,1,Authoritarianism,0,NA,1,NA,2,NA,NA,NA,5,NA,NA,NA,NA,1,Table 4 on p. 615,r,0.43,NA,1116,NA,NA,NA,NA,NA,NA,NA,NA,0,0.43,5.96e-4,0.024413,0.459897,8.98e-4,0.029967,1116,1,29,Threat,Islamist
10006,Arian,1989,1,0,People Apart Syndrome,NA,NA,0,0,1,100061,0,3,Israel,1988,1116,1,0,Israeli adults,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,2,1,Threat perceptions,10,0,1,Israeli-Palestinian conflict,1,2,NA,2,1,NA,NA,2,Policy preferences,0,NA,1,0.681,2,NA,NA,NA,8,NA,NA,NA,NA,2,Table 4 on p. 616,r,0.12,NA,1116,NA,NA,NA,NA,NA,NA,NA,NA,0,0.12,8.71e-4,0.029513,0.120581,8.98e-4,0.029967,1116,0.980514399042506,30,Threat,Islamist
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,1,100071,0,3,Spain,2004,1148,1,0,ESS participants,0,NA,43.55,NA,NA,54.3,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,11/03 Madrid,1,2,193,2,0,NA,NA,1,Institutional trust,247.863,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,1,Mail correspondence,r,0.0293,NA,1148,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0293,8.7e-4,0.029496,0.029308,8.73e-4,0.029547,1148,0.168119853496448,31,Acts of violence,Islamist
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,2,100072,0,3,Norway,2012,1303,1,0,ESS participants,0,NA,46.913,NA,NA,54.1,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,2011 Utoya attacks,2,2,77,1,1,NA,NA,1,Institutional trust,452.99,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,2,Mail correspondence,r,-0.0108,NA,1303,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0108,7.68e-4,0.027713,-0.0108,7.69e-4,0.027731,1303,0.067544763158637,32,Acts of violence,Extreme right
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,3,100073,0,3,Belgium,2014,1593,1,0,ESS participants,0,NA,47.925,NA,NA,50.5,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,2014 Jewish Museum of Belgium shooting,1,2,4,0,0,NA,NA,1,Institutional trust,164.011,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,3,Mail correspondence,r,0.0243,NA,1593,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0243,6.27e-4,0.02504,0.024305,6.29e-4,0.02508,1593,0.162638632397799,33,Acts of violence,Islamist
10007,"Arvanitidis, Economou, & Kollias",2016,1,0.9,TMT,Group-threat,Rally-around-the-flag,1,0,4,100074,0,3,France,2015,250,1,0,ESS participants,0,NA,47,NA,NA,48.8,NA,NA,NA,NA,NA,3,NA,NA,3,1,Terrorist attack,1,0,1,Charlie Hebdo attacks,1,2,12,1,0,NA,NA,1,Institutional trust,14.628,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,NA,4,Mail correspondence,r,-0.0673,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0673,0.00398,0.063087,-0.067402,0.004049,0.063632,250,0.185559638605626,34,Acts of violence,Islamist
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,1,100081,0,1,Germany,2008,144,0,1,University students,0,NA,22,2.9,NA,46.527,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Approval of torture,0,NA,1,0.88,3,NA,NA,NA,9,NA,NA,NA,NA,1,Table 1 on p. 41,"m, sd",NA,NA,NA,-1.34,1.75,48,-0.72,1.49,48,NA,NA,0,0.196092,0.009446,0.097191,0.198665,0.010753,0.103697,96,0.485861448578851,35,Threat,No ideology
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,1,100081,0,1,Germany,2008,144,0,1,University students,0,NA,22,2.9,NA,46.527,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,NA,2,RWA,0,NA,1,0.76,3,NA,NA,NA,5,NA,NA,NA,NA,2,Table 1 on p. 41,"m, sd",NA,NA,NA,2.89,0.91,48,3.3,0.73,48,NA,NA,0,-0.041852,0.010371,0.101838,-0.041877,0.010753,0.103697,96,0.0688813536138016,36,Threat,No ideology
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,1,100081,0,1,Germany,2008,144,0,1,University students,0,NA,22,2.9,NA,46.527,NA,NA,NA,NA,NA,4,NA,NA,2,2,Manipulated national threat,4,1,0,NA,0,0,NA,-99,-99,NA,NA,1,Approval of torture,0,NA,1,0.88,3,NA,NA,NA,9,NA,NA,NA,NA,3,Table 1 on p. 41,"m, sd",NA,NA,NA,-1.34,1.75,48,-1.52,1.83,48,NA,NA,0,0.241172,0.008971,0.094715,0.246018,0.010753,0.103697,96,0.663994344984576,37,Threat,No ideology
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,1,100081,0,1,Germany,2008,144,0,1,University students,0,NA,22,2.9,NA,46.527,NA,NA,NA,NA,NA,4,NA,NA,2,2,Manipulated national threat,4,1,0,NA,0,0,NA,-99,-99,NA,NA,2,RWA,0,NA,1,0.76,3,NA,NA,NA,5,NA,NA,NA,NA,4,Table 1 on p. 41,"m, sd",NA,NA,NA,2.89,0.91,48,2.97,0.86,48,NA,NA,0,0.045134,0.010364,0.101804,0.045164,0.010753,0.103697,96,0.0720266662786455,38,Threat,No ideology
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,2,100082,0,1,Germany,2010,99,0,1,University students,0,NA,22,2.67,NA,62.626262,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,In-group idenitification,1,Approval of torture,0,NA,1,0.85,3,NA,NA,NA,9,NA,NA,NA,NA,5,Table 2 on p. 43,r,0.19,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0.19,0.009481,0.09737,0.192337,0.010417,0.102064,99,0.473216798739927,39,Threat,No ideology
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,2,100082,0,1,Germany,2010,99,0,1,University students,0,NA,22,2.67,NA,62.626262,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,In-group idenitification,2,RWA,0,NA,1,0.76,3,NA,NA,NA,5,NA,NA,NA,NA,6,Table 2 on p. 43,r,0.14,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14,0.009808,0.099035,0.140926,0.010417,0.102064,99,0.283538347203385,40,Threat,No ideology
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,2,100082,0,1,Germany,2010,99,0,1,University students,0,NA,22,2.67,NA,62.626262,NA,NA,NA,NA,NA,4,NA,NA,2,1,Manipulated personal threat,3,1,0,NA,0,0,NA,-99,-99,NA,In-group idenitification,3,National idenitification,0,NA,1,0.71,3,NA,NA,NA,1,NA,NA,NA,NA,7,Table 2 on p. 43,r,-0.08,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.08,0.010074,0.100369,-0.080171,0.010417,0.102064,99,0.123605373779027,41,Threat,No ideology
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,2,100082,0,1,Germany,2010,99,0,1,University students,0,NA,22,2.67,NA,62.626262,NA,NA,NA,NA,NA,4,NA,NA,2,2,Manipulated national threat,4,1,0,NA,0,0,NA,-99,-99,NA,In-group idenitification,1,Approval of torture,0,NA,1,0.85,3,NA,NA,NA,9,NA,NA,NA,NA,8,Table 2 on p. 43,r,0.04,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0.010171,0.100851,0.040021,0.010417,0.102064,99,0.0677820611922304,42,Threat,No ideology
10008,Asbrock & Fritsche,2013,1,0.632,RWA,NA,NA,1,0,2,100082,0,1,Germany,2010,99,0,1,University students,0,NA,22,2.67,NA,62.626262,NA,NA,NA,NA,NA,4,NA,NA,2,2,Manipulated national threat,4,1,0,NA,0,0,NA,-99,-99,NA,In-group idenitification,2,RWA,0,NA,1,0.76,3,NA,NA,NA,5,NA,NA,NA,NA,9,Table 2 on p. 43,r,0.03,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,0.010186,0.100926,0.030009,0.010417,0.102064,99,0.0598833843156052,43,Threat,No ideology
